# date=2026-03-05T21:59:11+00:00,rocm=7.2.0,hip=7.2.26015-fc0010cf6a,gpu=AMD Radeon RX 7900 XTX,kernel=6.17.0-14-generic,commit=760af6ce3
model,metric,run,variant,tokens_per_sec
1B-Q4_K_M,tg128,1,tmac,451.077538
1B-Q4_K_M,tg128,1,stock,382.361741
1B-Q4_K_M,tg128,2,tmac,448.087004
1B-Q4_K_M,tg128,2,stock,382.945355
1B-Q4_K_M,tg128,3,tmac,449.912425
1B-Q4_K_M,tg128,3,stock,382.392620
1B-Q4_K_M,tg128,4,tmac,450.108804
1B-Q4_K_M,tg128,4,stock,381.664753
1B-Q4_K_M,tg128,5,tmac,449.538700
1B-Q4_K_M,tg128,5,stock,381.788502
1B-Q4_K_M,pp512,1,tmac,14973.618794
1B-Q4_K_M,pp512,1,stock,14853.481573
1B-Q4_K_M,pp512,2,tmac,15088.490164
1B-Q4_K_M,pp512,2,stock,14878.093637
1B-Q4_K_M,pp512,3,tmac,14943.466996
1B-Q4_K_M,pp512,3,stock,14958.136354
1B-Q4_K_M,pp512,4,tmac,14972.169019
1B-Q4_K_M,pp512,4,stock,14879.473360
1B-Q4_K_M,pp512,5,tmac,14912.454716
1B-Q4_K_M,pp512,5,stock,14963.037207
22B-Q4_K_M,tg128,1,tmac,45.906168
22B-Q4_K_M,tg128,1,stock,41.792050
22B-Q4_K_M,tg128,2,tmac,45.811077
22B-Q4_K_M,tg128,2,stock,41.827592
22B-Q4_K_M,tg128,3,tmac,45.830278
22B-Q4_K_M,tg128,3,stock,41.727735
22B-Q4_K_M,tg128,4,tmac,45.832966
22B-Q4_K_M,tg128,4,stock,41.757734
22B-Q4_K_M,tg128,5,tmac,45.862730
22B-Q4_K_M,tg128,5,stock,41.677200
22B-Q4_K_M,pp512,1,tmac,1149.525463
22B-Q4_K_M,pp512,1,stock,1149.048542
22B-Q4_K_M,pp512,2,tmac,1149.111753
22B-Q4_K_M,pp512,2,stock,1151.454781
22B-Q4_K_M,pp512,3,tmac,1148.325840
22B-Q4_K_M,pp512,3,stock,1146.608860
22B-Q4_K_M,pp512,4,tmac,1148.306882
22B-Q4_K_M,pp512,4,stock,1145.825468
22B-Q4_K_M,pp512,5,tmac,1149.813135
22B-Q4_K_M,pp512,5,stock,1146.605701
OLMoE-Q4_K_M,tg128,1,tmac,373.689475
OLMoE-Q4_K_M,tg128,1,stock,329.817881
OLMoE-Q4_K_M,tg128,2,tmac,374.091126
OLMoE-Q4_K_M,tg128,2,stock,330.127305
OLMoE-Q4_K_M,tg128,3,tmac,374.845475
OLMoE-Q4_K_M,tg128,3,stock,329.452261
OLMoE-Q4_K_M,tg128,4,tmac,373.163921
OLMoE-Q4_K_M,tg128,4,stock,330.183606
OLMoE-Q4_K_M,tg128,5,tmac,374.586438
OLMoE-Q4_K_M,tg128,5,stock,328.524497
OLMoE-Q4_K_M,pp512,1,tmac,8656.554920
OLMoE-Q4_K_M,pp512,1,stock,8621.891511
OLMoE-Q4_K_M,pp512,2,tmac,8675.702185
OLMoE-Q4_K_M,pp512,2,stock,8639.490205
OLMoE-Q4_K_M,pp512,3,tmac,8661.571802
OLMoE-Q4_K_M,pp512,3,stock,8643.528672
OLMoE-Q4_K_M,pp512,4,tmac,8645.304873
OLMoE-Q4_K_M,pp512,4,stock,8634.164546
OLMoE-Q4_K_M,pp512,5,tmac,8669.455341
OLMoE-Q4_K_M,pp512,5,stock,8648.002094
1B-IQ3_S,tg128,1,tmac,483.334834
1B-IQ3_S,tg128,1,stock,361.176551
1B-IQ3_S,tg128,2,tmac,483.341603
1B-IQ3_S,tg128,2,stock,362.202500
1B-IQ3_S,tg128,3,tmac,483.428483
1B-IQ3_S,tg128,3,stock,362.469414
1B-IQ3_S,tg128,4,tmac,483.137065
1B-IQ3_S,tg128,4,stock,363.652080
1B-IQ3_S,tg128,5,tmac,482.416857
1B-IQ3_S,tg128,5,stock,363.013803
1B-IQ3_S,pp512,1,tmac,7118.350671
1B-IQ3_S,pp512,1,stock,7147.507610
1B-IQ3_S,pp512,2,tmac,7134.488849
1B-IQ3_S,pp512,2,stock,7146.935922
1B-IQ3_S,pp512,3,tmac,7123.599969
1B-IQ3_S,pp512,3,stock,7121.811435
1B-IQ3_S,pp512,4,tmac,7167.678730
1B-IQ3_S,pp512,4,stock,7112.852179
1B-IQ3_S,pp512,5,tmac,7126.058018
1B-IQ3_S,pp512,5,stock,7129.942180
1B-IQ4_XS,tg128,1,tmac,477.180300
1B-IQ4_XS,tg128,1,stock,419.505989
1B-IQ4_XS,tg128,2,tmac,476.797325
1B-IQ4_XS,tg128,2,stock,419.101404
1B-IQ4_XS,tg128,3,tmac,477.869958
1B-IQ4_XS,tg128,3,stock,421.178122
1B-IQ4_XS,tg128,4,tmac,477.899522
1B-IQ4_XS,tg128,4,stock,420.295300
1B-IQ4_XS,tg128,5,tmac,477.479322
1B-IQ4_XS,tg128,5,stock,419.529008
1B-IQ4_XS,pp512,1,tmac,7185.093928
1B-IQ4_XS,pp512,1,stock,7167.762016
1B-IQ4_XS,pp512,2,tmac,7174.484730
1B-IQ4_XS,pp512,2,stock,7173.522551
1B-IQ4_XS,pp512,3,tmac,7188.373648
1B-IQ4_XS,pp512,3,stock,7171.645577
1B-IQ4_XS,pp512,4,tmac,7194.149279
1B-IQ4_XS,pp512,4,stock,7162.185952
1B-IQ4_XS,pp512,5,tmac,7182.901417
1B-IQ4_XS,pp512,5,stock,7173.734727
1B-Q5_0,tg128,1,tmac,443.476923
1B-Q5_0,tg128,1,stock,387.178900
1B-Q5_0,tg128,2,tmac,442.054023
1B-Q5_0,tg128,2,stock,387.560056
1B-Q5_0,tg128,3,tmac,441.791689
1B-Q5_0,tg128,3,stock,386.552223
1B-Q5_0,tg128,4,tmac,441.692944
1B-Q5_0,tg128,4,stock,386.886017
1B-Q5_0,tg128,5,tmac,442.475264
1B-Q5_0,tg128,5,stock,386.742465
1B-Q5_0,pp512,1,tmac,6819.476938
1B-Q5_0,pp512,1,stock,6780.122482
1B-Q5_0,pp512,2,tmac,6808.019320
1B-Q5_0,pp512,2,stock,6812.974042
1B-Q5_0,pp512,3,tmac,6794.975535
1B-Q5_0,pp512,3,stock,6768.858449
1B-Q5_0,pp512,4,tmac,6784.117855
1B-Q5_0,pp512,4,stock,6785.880179
1B-Q5_0,pp512,5,tmac,6769.345205
1B-Q5_0,pp512,5,stock,6791.224263
1B-Q5_K_M,tg128,1,tmac,360.674615
1B-Q5_K_M,tg128,1,stock,366.105296
1B-Q5_K_M,tg128,2,tmac,412.314417
1B-Q5_K_M,tg128,2,stock,367.050966
1B-Q5_K_M,tg128,3,tmac,411.102879
1B-Q5_K_M,tg128,3,stock,365.524032
1B-Q5_K_M,tg128,4,tmac,411.493391
1B-Q5_K_M,tg128,4,stock,365.431955
1B-Q5_K_M,tg128,5,tmac,409.704532
1B-Q5_K_M,tg128,5,stock,367.113890
1B-Q5_K_M,pp512,1,tmac,14125.368104
1B-Q5_K_M,pp512,1,stock,14144.880374
1B-Q5_K_M,pp512,2,tmac,14186.886235
1B-Q5_K_M,pp512,2,stock,14164.353363
1B-Q5_K_M,pp512,3,tmac,14140.305859
1B-Q5_K_M,pp512,3,stock,14076.182223
1B-Q5_K_M,pp512,4,tmac,14157.972556
1B-Q5_K_M,pp512,4,stock,14067.337321
1B-Q5_K_M,pp512,5,tmac,14157.785030
1B-Q5_K_M,pp512,5,stock,14164.313786
1B-IQ3_XXS,tg128,1,tmac,484.629656
1B-IQ3_XXS,tg128,1,stock,357.770340
1B-IQ3_XXS,tg128,2,tmac,486.115528
1B-IQ3_XXS,tg128,2,stock,357.827462
1B-IQ3_XXS,tg128,3,tmac,487.372584
1B-IQ3_XXS,tg128,3,stock,357.683108
1B-IQ3_XXS,tg128,4,tmac,487.389102
1B-IQ3_XXS,tg128,4,stock,356.074889
1B-IQ3_XXS,tg128,5,tmac,488.987505
1B-IQ3_XXS,tg128,5,stock,358.404486
1B-IQ3_XXS,pp512,1,tmac,7606.151570
1B-IQ3_XXS,pp512,1,stock,7599.235440
1B-IQ3_XXS,pp512,2,tmac,7598.358036
1B-IQ3_XXS,pp512,2,stock,7606.789029
1B-IQ3_XXS,pp512,3,tmac,7621.735528
1B-IQ3_XXS,pp512,3,stock,7607.028514
1B-IQ3_XXS,pp512,4,tmac,7621.345250
1B-IQ3_XXS,pp512,4,stock,7587.998590
1B-IQ3_XXS,pp512,5,tmac,7656.569595
1B-IQ3_XXS,pp512,5,stock,7624.734514
1B-IQ2_XXS,tg128,1,tmac,453.532685
1B-IQ2_XXS,tg128,1,stock,369.133533
1B-IQ2_XXS,tg128,2,tmac,451.163472
1B-IQ2_XXS,tg128,2,stock,368.266692
1B-IQ2_XXS,tg128,3,tmac,455.052439
1B-IQ2_XXS,tg128,3,stock,366.625285
1B-IQ2_XXS,tg128,4,tmac,453.596090
1B-IQ2_XXS,tg128,4,stock,366.140484
1B-IQ2_XXS,tg128,5,tmac,454.634373
1B-IQ2_XXS,tg128,5,stock,367.682226
1B-IQ2_XXS,pp512,1,tmac,7223.989866
1B-IQ2_XXS,pp512,1,stock,7216.547476
1B-IQ2_XXS,pp512,2,tmac,7199.258938
1B-IQ2_XXS,pp512,2,stock,7199.654867
1B-IQ2_XXS,pp512,3,tmac,7228.590873
1B-IQ2_XXS,pp512,3,stock,7224.306869
1B-IQ2_XXS,pp512,4,tmac,7224.928827
1B-IQ2_XXS,pp512,4,stock,7206.999438
1B-IQ2_XXS,pp512,5,tmac,7191.146171
1B-IQ2_XXS,pp512,5,stock,7216.730569
1B-IQ2_XS,tg128,1,tmac,419.920049
1B-IQ2_XS,tg128,1,stock,364.702116
1B-IQ2_XS,tg128,2,tmac,419.558698
1B-IQ2_XS,tg128,2,stock,364.834148
1B-IQ2_XS,tg128,3,tmac,418.997712
1B-IQ2_XS,tg128,3,stock,364.187252
1B-IQ2_XS,tg128,4,tmac,419.977835
1B-IQ2_XS,tg128,4,stock,363.068645
1B-IQ2_XS,tg128,5,tmac,420.391696
1B-IQ2_XS,tg128,5,stock,364.338139
1B-IQ2_XS,pp512,1,tmac,12999.456841
1B-IQ2_XS,pp512,1,stock,12994.352964
1B-IQ2_XS,pp512,2,tmac,12991.438262
1B-IQ2_XS,pp512,2,stock,13017.979890
1B-IQ2_XS,pp512,3,tmac,13057.658949
1B-IQ2_XS,pp512,3,stock,12975.465928
1B-IQ2_XS,pp512,4,tmac,13047.207063
1B-IQ2_XS,pp512,4,stock,12975.186426
1B-IQ2_XS,pp512,5,tmac,13183.678668
1B-IQ2_XS,pp512,5,stock,13005.100184
1B-IQ1_M,tg128,1,tmac,487.742392
1B-IQ1_M,tg128,1,stock,450.446868
1B-IQ1_M,tg128,2,tmac,486.515401
1B-IQ1_M,tg128,2,stock,452.938589
1B-IQ1_M,tg128,3,tmac,486.164126
1B-IQ1_M,tg128,3,stock,451.001845
1B-IQ1_M,tg128,4,tmac,487.653993
1B-IQ1_M,tg128,4,stock,451.822684
1B-IQ1_M,tg128,5,tmac,485.922582
1B-IQ1_M,tg128,5,stock,448.840192
1B-IQ1_M,pp512,1,tmac,11993.644774
1B-IQ1_M,pp512,1,stock,12024.977852
1B-IQ1_M,pp512,2,tmac,11957.554419
1B-IQ1_M,pp512,2,stock,12085.230522
1B-IQ1_M,pp512,3,tmac,12038.799074
1B-IQ1_M,pp512,3,stock,12039.382513
1B-IQ1_M,pp512,4,tmac,11986.346989
1B-IQ1_M,pp512,4,stock,12070.052984
1B-IQ1_M,pp512,5,tmac,12009.635950
1B-IQ1_M,pp512,5,stock,12030.578347
8B-Q5_K_M,tg128,1,tmac,102.612759
8B-Q5_K_M,tg128,1,stock,96.469978
8B-Q5_K_M,tg128,2,tmac,102.643081
8B-Q5_K_M,tg128,2,stock,96.546761
8B-Q5_K_M,tg128,3,tmac,102.570282
8B-Q5_K_M,tg128,3,stock,96.446561
8B-Q5_K_M,tg128,4,tmac,102.507240
8B-Q5_K_M,tg128,4,stock,96.328473
8B-Q5_K_M,tg128,5,tmac,102.831313
8B-Q5_K_M,tg128,5,stock,96.267753
8B-Q5_K_M,pp512,1,tmac,3008.516800
8B-Q5_K_M,pp512,1,stock,2989.984236
8B-Q5_K_M,pp512,2,tmac,3011.084874
8B-Q5_K_M,pp512,2,stock,2997.883921
8B-Q5_K_M,pp512,3,tmac,3015.353651
8B-Q5_K_M,pp512,3,stock,2993.630665
8B-Q5_K_M,pp512,4,tmac,3013.283277
8B-Q5_K_M,pp512,4,stock,2988.069944
8B-Q5_K_M,pp512,5,tmac,2993.400843
8B-Q5_K_M,pp512,5,stock,2989.844206
OLMoE-IQ3_S,tg128,1,tmac,390.512686
OLMoE-IQ3_S,tg128,1,stock,309.767567
OLMoE-IQ3_S,tg128,2,tmac,388.983436
OLMoE-IQ3_S,tg128,2,stock,308.363835
OLMoE-IQ3_S,tg128,3,tmac,390.172726
OLMoE-IQ3_S,tg128,3,stock,307.807881
OLMoE-IQ3_S,tg128,4,tmac,389.159050
OLMoE-IQ3_S,tg128,4,stock,310.027777
OLMoE-IQ3_S,tg128,5,tmac,390.945042
OLMoE-IQ3_S,tg128,5,stock,310.186684
OLMoE-IQ3_S,pp512,1,tmac,3919.092779
OLMoE-IQ3_S,pp512,1,stock,3892.233866
OLMoE-IQ3_S,pp512,2,tmac,3899.598232
OLMoE-IQ3_S,pp512,2,stock,3922.658505
OLMoE-IQ3_S,pp512,3,tmac,3916.693340
OLMoE-IQ3_S,pp512,3,stock,3903.863072
OLMoE-IQ3_S,pp512,4,tmac,3902.780756
OLMoE-IQ3_S,pp512,4,stock,3894.614945
OLMoE-IQ3_S,pp512,5,tmac,3904.665457
OLMoE-IQ3_S,pp512,5,stock,3896.462736
OLMoE-IQ3_XXS,tg128,1,tmac,398.188335
OLMoE-IQ3_XXS,tg128,1,stock,305.427325
OLMoE-IQ3_XXS,tg128,2,tmac,396.828519
OLMoE-IQ3_XXS,tg128,2,stock,306.562961
OLMoE-IQ3_XXS,tg128,3,tmac,399.403010
OLMoE-IQ3_XXS,tg128,3,stock,305.227219
OLMoE-IQ3_XXS,tg128,4,tmac,395.959224
OLMoE-IQ3_XXS,tg128,4,stock,306.426245
OLMoE-IQ3_XXS,tg128,5,tmac,396.770594
OLMoE-IQ3_XXS,tg128,5,stock,304.644705
OLMoE-IQ3_XXS,pp512,1,tmac,4141.481920
OLMoE-IQ3_XXS,pp512,1,stock,4133.638765
OLMoE-IQ3_XXS,pp512,2,tmac,4120.890840
OLMoE-IQ3_XXS,pp512,2,stock,4112.054414
OLMoE-IQ3_XXS,pp512,3,tmac,4112.963176
OLMoE-IQ3_XXS,pp512,3,stock,4128.707256
OLMoE-IQ3_XXS,pp512,4,tmac,4119.068000
OLMoE-IQ3_XXS,pp512,4,stock,4121.319441
OLMoE-IQ3_XXS,pp512,5,tmac,4113.769576
OLMoE-IQ3_XXS,pp512,5,stock,4123.158154
